Wall time,Step,Value
1565734179.643371,7650,0.5546875
1565734180.6454394,7660,0.5546875
1565734183.7400646,7690,0.55078125
1565734184.814295,7700,0.5546875
1565734185.855068,7710,0.5703125
1565734187.9331875,7730,0.4921875
1565734188.9488182,7740,0.5625
1565734195.4552515,7800,0.5546875
1565734199.5692308,7840,0.5390625
1565734200.6247072,7850,0.5
1565734202.707018,7870,0.57421875
1565734204.8118799,7890,0.56640625
1565734206.939261,7910,0.56640625
1565734207.9888608,7920,0.58984375
1565734209.0451262,7930,0.53125
1565734210.09598,7940,0.55859375
1565734211.1410503,7950,0.5234375
1565734214.2592773,7980,0.4921875
1565734216.3171122,8000,0.484375
1565734218.6606867,8020,0.5234375
1565734221.739523,8050,0.56640625
1565734223.8196352,8070,0.5546875
1565734224.8677552,8080,0.52734375
1565734225.9157763,8090,0.49609375
1565734230.314734,8130,0.55078125
1565734232.3820858,8150,0.5546875
1565734233.429404,8160,0.53515625
1565734235.4692292,8180,0.5625
1565734238.622157,8210,0.5625
1565734242.7671342,8250,0.55859375
1565734245.8733435,8280,0.546875
1565734249.2781258,8310,0.5546875
1565734250.3238034,8320,0.50390625
1565734252.3708613,8340,0.5078125
1565734254.4500456,8360,0.5625
1565734256.4373307,8380,0.53515625
1565734261.8843777,8430,0.578125
1565734265.036419,8460,0.609375
1565734266.0815666,8470,0.58203125
1565734267.1274934,8480,0.61328125
1565734270.2464309,8510,0.546875
1565734278.4465392,8590,0.55859375
1565734279.79205,8600,0.62890625
1565734280.8147511,8610,0.58203125
1565734282.8455508,8630,0.58203125
1565734286.9400384,8670,0.6015625
1565734289.0000145,8690,0.5703125
1565734290.0697205,8700,0.58984375
1565734294.227064,8740,0.609375
1565734296.319385,8760,0.6015625
1565734297.3648565,8770,0.56640625
1565734300.5280128,8800,0.6015625
1565734302.5624156,8820,0.625
1565734304.6318538,8840,0.64453125
1565734307.757305,8870,0.5234375
1565734309.8355768,8890,0.6015625
1565734310.8700137,8900,0.5390625
1565734312.916021,8920,0.56640625
1565734313.9486785,8930,0.5859375
1565734317.1062725,8960,0.64453125
1565734320.2315497,8990,0.6015625
1565734321.2876017,9000,0.6015625
1565734328.752221,9070,0.6015625
1565734329.7582288,9080,0.56640625
1565734330.7992969,9090,0.62109375
1565734332.1642737,9100,0.578125
1565734334.2242222,9120,0.53125
1565734335.2625165,9130,0.58203125
1565734337.3296704,9150,0.6171875
1565734338.361793,9160,0.5390625
1565734339.4087074,9170,0.59375
1565734342.5665643,9200,0.61328125
1565734343.6059902,9210,0.6015625
1565734344.6556852,9220,0.58984375
1565734345.7063193,9230,0.546875
1565734347.7966378,9250,0.6171875
1565734354.0626006,9310,0.609375
1565734355.1215596,9320,0.59765625
1565734358.1871495,9350,0.6171875
1565734365.4211478,9420,0.546875
1565734368.5629973,9450,0.57421875
1565734376.1248786,9520,0.6015625
1565734377.182659,9530,0.546875
1565734378.2328098,9540,0.578125
1565734380.30929,9560,0.59375
1565734381.3394735,9570,0.640625
1565734382.3771143,9580,0.6640625
1565734385.5237522,9610,0.58203125
1565734386.5882819,9620,0.6484375
1565734388.7109346,9640,0.6171875
1565734390.777605,9660,0.63671875
1565734391.7958114,9670,0.66796875
1565734396.1833553,9710,0.59375
1565734397.2270856,9720,0.6484375
1565734401.3313584,9760,0.640625
1565734402.3680096,9770,0.6484375
1565734403.3835218,9780,0.62109375
1565734404.4270504,9790,0.61328125
1565734407.559706,9820,0.6015625
1565734408.6131709,9830,0.59765625
1565734409.6554585,9840,0.6015625
1565734412.7583907,9870,0.59375
1565734413.8049958,9880,0.72265625
1565734422.0748768,9960,0.6171875
1565734426.1283329,10000,0.66015625
1565734428.4324648,10020,0.55078125
1565734430.5199707,10040,0.640625
1565734431.5574338,10050,0.625
1565734434.6933239,10080,0.60546875
1565734435.714303,10090,0.58984375
1565734438.066136,10110,0.62109375
1565734439.1167781,10120,0.6484375
1565734440.1724255,10130,0.625
1565734441.2303398,10140,0.6171875
1565734444.3736084,10170,0.58984375
1565734452.6425714,10250,0.625
1565734454.746253,10270,0.6640625
1565734456.7826872,10290,0.61328125
1565734458.9023879,10310,0.66015625
1565734459.9685428,10320,0.58203125
1565734461.035953,10330,0.63671875
1565734463.1437836,10350,0.6484375
1565734465.2167916,10370,0.65234375
1565734466.2412887,10380,0.578125
