,index,sm,smmax,dataset,directory,cell_id,channel
188,32,4,0.99266595,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1316,1
189,33,4,0.4305536,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1520,1
190,34,0,0.9834853,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1571,1
191,35,0,0.6885638,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1575,1
192,36,4,0.889058,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1606,1
193,37,0,0.9995492,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1713,1
194,38,0,0.9722568,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1825,1
195,39,4,0.570936,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1828,1
196,40,6,0.33042464,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1833,1
197,41,4,0.878073,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1842,1
198,42,0,0.99869436,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1861,1
199,43,4,0.99863714,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1903,1
200,44,0,0.96410906,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,1978,1
201,45,5,0.45355746,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,2011,1
202,46,0,0.7241309,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,2034,1
203,47,4,0.77966243,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,2093,1
204,48,5,0.7491004,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,2107,1
205,49,4,0.5579627,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,2145,1
206,50,4,0.97276706,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,2155,1
207,51,4,0.47833082,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,2458,1
208,52,4,0.94623023,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,2565,1
