,dataset,probability,cluster,count
979,LPS 72h a,0.5,3,289
980,LPS 72h a,0.5,4,424
981,LPS 72h a,0.5,5,537
982,LPS 72h a,0.5,6,646
1031,LPS 72h b,0.5,0,277
1032,LPS 72h b,0.5,1,282
1033,LPS 72h b,0.5,2,291
1034,LPS 72h b,0.5,3,317
1035,LPS 72h b,0.5,4,427
1036,LPS 72h b,0.5,5,503
1037,LPS 72h b,0.5,6,587
1087,LPS 72h c,0.5,0,270
1088,LPS 72h c,0.5,1,273
1089,LPS 72h c,0.5,2,277
1090,LPS 72h c,0.5,3,301
1091,LPS 72h c,0.5,4,436
1092,LPS 72h c,0.5,5,552
1093,LPS 72h c,0.5,6,637
1140,LPS 72h d,0.5,0,325
1141,LPS 72h d,0.5,1,326
1142,LPS 72h d,0.5,2,335
1143,LPS 72h d,0.5,3,369
1144,LPS 72h d,0.5,4,505
1145,LPS 72h d,0.5,5,618
1146,LPS 72h d,0.5,6,728
1195,LPS 72h e,0.5,0,304
1196,LPS 72h e,0.5,1,313
1197,LPS 72h e,0.5,2,318
1198,LPS 72h e,0.5,3,338
1199,LPS 72h e,0.5,4,442
1200,LPS 72h e,0.5,5,573
1201,LPS 72h e,0.5,6,704
1249,LPS 72h f,0.5,0,259
1250,LPS 72h f,0.5,1,262
1251,LPS 72h f,0.5,2,264
1252,LPS 72h f,0.5,3,274
1253,LPS 72h f,0.5,4,382
1254,LPS 72h f,0.5,5,478
1255,LPS 72h f,0.5,6,581
19,FSS 24h a,0.6000000238418579,0,677
20,FSS 24h a,0.6000000238418579,1,679
21,FSS 24h a,0.6000000238418579,2,680
22,FSS 24h a,0.6000000238418579,3,730
23,FSS 24h a,0.6000000238418579,4,869
24,FSS 24h a,0.6000000238418579,5,978
25,FSS 24h a,0.6000000238418579,6,1097
72,FSS 24h b,0.6000000238418579,0,747
73,FSS 24h b,0.6000000238418579,2,749
74,FSS 24h b,0.6000000238418579,3,781
75,FSS 24h b,0.6000000238418579,4,1008
76,FSS 24h b,0.6000000238418579,5,1086
77,FSS 24h b,0.6000000238418579,6,1251
124,FSS 24h c,0.6000000238418579,0,795
125,FSS 24h c,0.6000000238418579,1,801
126,FSS 24h c,0.6000000238418579,2,818
127,FSS 24h c,0.6000000238418579,3,896
128,FSS 24h c,0.6000000238418579,4,1073
129,FSS 24h c,0.6000000238418579,5,1172
130,FSS 24h c,0.6000000238418579,6,1344
180,FSS 24h d,0.6000000238418579,0,1032
181,FSS 24h d,0.6000000238418579,1,1037
182,FSS 24h d,0.6000000238418579,2,1046
183,FSS 24h d,0.6000000238418579,3,1104
184,FSS 24h d,0.6000000238418579,4,1350
185,FSS 24h d,0.6000000238418579,5,1511
186,FSS 24h d,0.6000000238418579,6,1696
232,FSS 24h e,0.6000000238418579,0,875
233,FSS 24h e,0.6000000238418579,1,885
234,FSS 24h e,0.6000000238418579,2,896
235,FSS 24h e,0.6000000238418579,3,950
236,FSS 24h e,0.6000000238418579,4,1164
237,FSS 24h e,0.6000000238418579,5,1303
238,FSS 24h e,0.6000000238418579,6,1476
283,FSS 24h f,0.6000000238418579,0,909
284,FSS 24h f,0.6000000238418579,1,920
285,FSS 24h f,0.6000000238418579,2,932
286,FSS 24h f,0.6000000238418579,3,975
287,FSS 24h f,0.6000000238418579,4,1153
288,FSS 24h f,0.6000000238418579,5,1328
289,FSS 24h f,0.6000000238418579,6,1509
338,FSS 72h a,0.6000000238418579,0,747
339,FSS 72h a,0.6000000238418579,1,749
340,FSS 72h a,0.6000000238418579,2,752
341,FSS 72h a,0.6000000238418579,3,813
342,FSS 72h a,0.6000000238418579,4,1003
343,FSS 72h a,0.6000000238418579,5,1124
344,FSS 72h a,0.6000000238418579,6,1263
393,FSS 72h b,0.6000000238418579,0,826
394,FSS 72h b,0.6000000238418579,1,827
395,FSS 72h b,0.6000000238418579,2,844
396,FSS 72h b,0.6000000238418579,3,892
397,FSS 72h b,0.6000000238418579,4,1124
398,FSS 72h b,0.6000000238418579,5,1238
399,FSS 72h b,0.6000000238418579,6,1407
